"french","american","english"
"3a","N.A.","N.A."
"3a+","N.A.","N.A."
"3b","N.A.","N.A."
"3b+","N.A.","N.A."
"3c","N.A.","N.A."
"3c+","N.A.","N.A."
"4a","5.4","VD"
"4a+","N.A.","N.A."
"4b","5.5","4aS"
"4b+","N.A.","N.A."
"4c","5.6","4bHS"
"4c+","N.A.","N.A."
"5a","5.7","4cVS"
"5a+","N.A.","N.A."
"5b","5.8","VHS"
"5b+","N.A.","N.A."
"5c","5.9","5A"
"5c+","N.A.","N.A."
"6a","N.A.","N.A."
"6a+","N.A.","N.A."
"6b","N.A.","N.A."
"6b+","N.A.","N.A."
"6c","N.A.","N.A."
"6c+","N.A.","N.A."
"7a","N.A.","N.A."
"7a+","N.A.","N.A."
"7b","N.A.","N.A."
"7b+","N.A.","N.A."
"7c","N.A.","N.A."
"7c+","N.A.","N.A."
"8a","N.A.","N.A."
"8a+","N.A.","N.A."
"8b","N.A.","N.A."
"8b+","N.A.","N.A."
"8c","N.A.","N.A."
"8c+","N.A.","N.A."
"9a","N.A.","N.A."
"9a+","N.A.","N.A."
"9b","N.A.","N.A."
"9b+","N.A.","N.A."
"9c","5.15d","N.A."